license_no	public_title	public_journal	public_html	public_volume	public_date
101053269	"Severe sepsis-national estimates"	"Critical Care Medicine"		7	200107
101053269	"Systemic inflammatory response syndrome in adult patients with nosocomial bloodstream infection due to Staphylococcus aureus"	"Clinical Infectious Diseases"		33	200109
101053269	"The impact of hospital-acquired bloodstream infections"	"Emerging Infectious Diseases"		7	200103
101053287	"Bony Instability of the Shoulder "	"Journal of Arthroscopy"		"8, Issue 9 "	201101
101053287	"Hybrid Treatment Of the Engaging Hill-sachs Lesion"	"Techniques of Shoulder and Elbow Surgery "		"Vol. 8, No. 4 , pp 194-203"	200712
101053287	"The Bony Apprehension Test For Instabilityof The Shoulder "	"Journal of Arthroscopy"		"24; Issue 9"	200901
101053300	"Phase II Trial of Weekly Taxotere"	"American Society of Clinical Oncology"		"18: (abstract #451), 1999"	199905
101053307	"Delayed Postoperative Rhabdomyolysis in a Patient Subsquently Diagnosed as Malignant Hyperthermia Susceptible "	ANESTHESIOLOGY		96:764-5	200203
101053310	"Electrophysiologic Aid in Nerve Repair"	"Operative Techniques in Orthopaedics"		14	200407
101053314	"Efficacy and safety of adjunctive Ezogabine (Retigabine) in refractory partial epilepsy"	Neurology		"75(20): 1817-1824"	201010
101053314	Ganaxolone	Neurotherapeutics		4	200701
101053314	"Inhibition of TGF-beta2 with AP12009 in recurrent malignant gliomas: from preclinical to phase I/II studies"	Oligonucleotides		17	200702
101053314	"Randomized, double-blind, placebo controlled trial of Ezogabine (Retigabine) in partial epilepsy."	Neurology		"76(18): 1555-1563"	201105
101053314	"Randomized, multicenter, dose-ranging trial of retigabine for partial-onset seizures. "	Neurology		68	200703
101053314	Retigabine.	Neurotherapeutics		4	200701
101053344	"Amyloid precursor protein in the striatum in Alzheimer's disease:  an immunohistochemical study."	"Journal of Neuropathology and Experimental Neurology"		52;1993	199601
101053344	"Calcifying fibrous pseudoturmor of pleura:  a report of three cases of a newly described entity involving the pleura."	"American Journal of Clinical Pathology"		105	199601
101053344	"Desmoid tumors of the pleura: a clinicopathologic mimic of localized fibrous tumor"	"Modern Pathology"		12	199901
101053344	"Ependymomas of the mediastinum:  a clinicopathological, immunohistochemical, and ultrastructural study of three cases."	"Annals of Diagnostic Pathology"		2	199801
101053344	"Epithelial-myoepithelial carcinoma of the lung:  immunohistochemical and ultrastructural observations and review of the literature."	"Human Pathology"		28	199701
101053344	"Pathological and radiological correlation of endobronchial neoplasms:  Part 1, benign tumors"	"Annals of Pathology"		1	199701
101053344	"Pathological and radiological correlation of endobronchial neoplasms:  Part 2, malignant tumors."	"Annals Diagnostic Pathology"		2	199801
101053344	"Primary malignant melanoma of the lung:  a clinicopathologic and immunohistochemical study of 8 cases."	"American Journal of Surgical Pathology"		21	199701
101053362	"A guide to the safety of CNS-active agents during breastfeeding"	"Drug Safety"		17	199708
101053362	"Cerebral arteriovenous malformations in pregnancy: presentation, and neurological, obstetrical, and ethical significance"	"American Journal of Obstetrics and Gynecology"		181	199901
101053362	"Communicating bad news"	"Obstetrics & Gynecology"		90	199710
101053362	"Delivery of the non-vertex second twin: A review of the literature"	"Obstetrical and Gynecological Survey"		52	199712
101053362	"Penicillin desnsitization in the treatment of syphilis during pregnancy"	"American Journal of Perinatology"		14	199710
101053362	"Prenatal diagnosis and management of fetal sacrococcygeal teratoma"	"American Journal of Perinatology"		15	199801
101053362	"Prenatal diagnosis of multiple acyl-coA dehydrogenase deficiency: association with elevated alpha-fetoprotein and cystic renal changes"	"Prenatal Diagnosis"		21	200110
101053362	"Reversible oligohydramnios in a pregnancy with angiotensin-converting enzyme inhibitor exposure"	"American Journal of Perinatology"		14	199710
101053362	"Successful pregnancy in a woman with Bloom syndrome"	"American Journal of Medical Genetics"		102	200108
101053401	"Computed Tomographic Virtual Colonoscopy to Screen for Colorectal Neoplasia in Asymptomatic Adults"	NEJM		349	200312
101053401	"Flat Colorectal Lesions in Asymptomatic Adults:  Implications for Screening with CT Virtual Colonoscopy"	AJR		183	200411
101053401	"Location of Adenomas Missed by Optical Colonoscopy"	"Ann Intern Med"		141	200409
101053401	"The Effect of Diagnostic Confidence on the Probability of Optical Colonoscopic Confirmation of Potential Polyps Detected on  CT  Colonography"	AJR			200412
101053420	"Brain-derived neurotrophic factor (BDNF) Val(66)Met polymorphism differentially predicts hippocampal function in medication-free patients with schizophrenia"	"Mol Psychiatry. "	www.ncbi.nlm.nih.gov/pmc/articles/PMC3628926/	18(6):713	201301
101053420	"Catechol-o-methyltransferase valine(158)methionine genotype and resting regional cerebral blood flow in medication-free patients with schizophrenia."	"Biol Psychiatry"	www.ncbi.nlm.nih.gov/pubmed/19892319	67	201002
101053420	"COMT Val 108/158 Met genotype predicts antipsychotic medication response in working memory performance of patients with schizophrenia"	"Biol Psychiatry. "		"56:677-82. "	200411
101053420	"Effect of Tolcapone on Brain Activity During a Variable Attentional Control Task: A Double-Blind, Placebo-Controlled, Counter-Balanced Trial in Healthy Volunteers."	"CNS Drugs. 2013 Aug;27(8):663-73"	link.springer.com/article/10.1007%2Fs40263-013-0082-x	27(8):663-73	201308
101053420	"Genetic Variation in KCNH2 Associated with Expression in Brain of a unique hERG Isoform Modulates Treatment Response in Patients with Schizophrenia"	"American Journal of Psychiatry"	ajp.psychiatryonline.org/article.aspx?articleid=1182558	169:7	201207
101053420	"Identification of Candidate Single-nucleotide Polymorphisms in NRXN1 Related to Antipsychotic Treatment Response in Patients with Schizophrenia. "	Neuropsychopharmacology		"In Press"	201405
101053420	"Neuroleptic withdrawal studies in treatment-resistant patients with schizophrenia: tardive dyskinesia is not associated with supersensitive psychosis , "	"Schizophrenia Research"		63:151	200303
101053420	"New directions in the prevention and treatment of schizophrenia: a biological perspective"	"Psychiatry Research"		"59:357, 1996"	199601
101053420	"Perceptual category judgment deficits are related to prefrontal decision-making abnormalities in schizophrenia. "	"Frontiers in Psychiatry. Schizophrenia "	www.ncbi.nlm.nih.gov/pmc/articles/PMC3880938/	4:1-10	201401
101053420	"The treatment of tardive dyskinesia"	"Schizophrenia Bulletin"		"25:583, 1997"	199701
101053431	"Detection and Treatment of Depression in a VA Primary Care Clinic"	"Psychiatric Services"	www.psych.org/	50;11	199911
101053491	"Obstructive uropathy and malignancy"	"ASAIO 1995"			200201
101053517	"Ghidini A, Jenkins CB, Spong CY, Pezzullo JC, Salafia CM, Eglinton GS: Elevated amniotic fluid interleukin-6 levels during the early second trimester are associated with a greater risk of subsequent preterm delivery. "	"Am J Reprod Immunol "		1997;37:227-31	200201
101053517	"Ghidini A, Salafia CM, Kirn V, Doria V, Spong CY. Biophysical profile in predicting acute ascending infection in preterm rupture of membranes before 32 weeks. "	"Obstet Gynecol "		2000;96:201-6	200201
101053517	"Ghidini A, Salafia CM, Minior VK: Lack of relationship between histologic chorioamnionitis and duration of the latency period in preterm rupture of membranes. "	"J Maternal-Fetal Med "		1998;7:238-42	200201
101053517	"Ghidini A, Salafia CM, Pezzullo JC. Placental vascular lesions and likelihood of diagnosis of preeclampsia.  "	"Obstet Gynecol"		"1997; 90:542-5."	200201
101053517	"Ghidini A, Spong CY. Severe meconium aspiration syndrome is not caused by aspiration of meconium.  "	"Am J Obstet Gynecol"		"2001 185:931-8"	200201
101053517	"Ghidini A, Strobelt N, Locatelli A, Mariani E, Piccoli MG, Vergani P. Isolated fetal choroid plexus cysts: Role of ultrasonography in establishment of the risk of trisomy 18. "	"Am J Obstet Gynecol "		2000;182:972-7	200201
101053517	"Heimberger CM, Ghidini A, Lewis KM, Spong CY. Glycosilated hemoglobin as a predictor of fetal pulmonic maturity in insulin dependent diabetes at term.  "	"Am J Perinatol"		1999;16:257-60	200201
101053517	"Roncaglia N, Arreghini A, Locatelli A, Bellini P, Mariani E, Ghidini A. Obstetric cholestasis: Outcome with active management. "	"Eur J Obstet Gynecol Reprod Biol "		2002;100:167-170.	200201
101053517	"Salafia CM, Ghidini A, Sherer DM, Pezzullo JC. Abnormalities of the fetal heart rate in preterm deliveries are associated with intra-amniotic infection.  "	"J Soc Gynecol Investig"		"1998; 5:188-91"	200201
101053517	"Vergani P, Ghidini A, Ceruti P, Strobelt N, Spelta A, Zapparoli B, Rescaldani R. Congenital toxoplasmosis: Efficacy of maternal treatment with spiramycin alone. "	"Am J Reprod Immunol "		1998;39:335-40	200201
101053517	"Vergani P, Locatelli A, Piccoli MG, Ceruti P, Mariani E, Pezzullo JC, Ghidini A. Best second-trimester sonographic markers for the detection of trisomy 21. "	"J Ultrasound Med "		"1999; 18:469-73"	200201
101053528	"Parasuicide from Sustained Release Theophylline, A Review of Toxicity and Management"	"Dept. of Internal Medicine Clinical Vignettes "		1995	200101
101053550	"Case Report: A Descriptive Analysis of Hypertension and "	"Military Medicine"			200203
101053550	"Epithelial Metaplasia of the Corneal Endothelium in Forceps "	ARVO			200101
101053550	"Tetracaine Abuse Ring Keratitis: Report of Four Cases"	Cornea			199707
101053560	"CD10 Expression in Follicular Lymphoma Vs Reactive Follicular Hyperplasia:  Immunohistochemical Evaluation in Paraffin-embedded Tissue"	"Applied Immunohistochemistry and Molecular Morphology"		8(4):263-266	200012
101053560	"Evaluation of Endocrine Neoplasms Using Fine Needle Aspiration Biopsy"	"Endocrine Pathology"			200104
101053560	"Genetic Changes in Solid Tumors"	"Seminars in Surgical Oncology"		18:358-370	200006
101053560	"Molecular Biology of Solid Tumors"	"Chapter in McClatchey KD(ed):"		"in press"	200104
101053569	"Clinically-disparate stiff-person syndrome"	Neurology		61	200311
101053569	"Motorneuron disease and serum monoclonal protein: poor response to treatment of the paraproteinemia"	"J Clin Neuromuscular Disorders"		2	200201
101053569	"Neuroendocrine lung tumors and disorders of the neuromuscular junction "	Neurology	www.neurology.org	52	200201
101053569	Neurosarcoidosis	"Archives Neurology"		60	200307
101053593	"Capnography: Its' Design and Application"	"The Journal of Respiratory Care Practitioners"		"Feb/Mar: 55-60"	199801
101053599	"Albright T, Gehrich AP, Wright J, Davis G,  Neurophysiology of the Pelvic Floor and Neurodiagnostic Evaluation. Fellow Lecture Series ."	"J Pelvic Med Surg "		2004:10(3):123-138	200406
101053599	"Albright TS, Gehrich AP, O’Boyle AL, Buller JL, and Davis GD.  Mechanisms of Paravaginal Defects among Female Soldiers.  "	"J Pelvic Med Surg "		2004;10:245-253	200406
101053599	"GehrichAP, IglesiaCB.  Urogynecologic Urgencies and Emergencies    Book Chapter in Gynecologic Emergencies  2nd Edition, 2005 "				200505
101053640	"Hyperbaric treatment for children with autism: a multicenter, randomized, double-blind, controlled trial"	"BMC Pediatrics"	www.biomedcentral.com/1471-2431/9/21	9:21	200903
101053643	"Mechanisms of Cisplatin Nephrotoxicity"	Toxins	www.mdpi.com/2072-6651/2/11/2490/	2	201010
101053676	"Celecoxib for Rheumatoid Arthritis"	"The Journal of  Family Practice"	jfponline.com	49	200001
101053676	"Combined oral contraceptives versus levonorgestrel for emergency contraception"	"Journal of Family Practice"	jfponline.com	47	199812
101053676	"Diagnosing skin malignancy: assessment of predictive clinical criteria and risk factors."	"Journal of Family Practice"		52	200303
101053676	"Interpreting the exercise stress test"	"Journal of Family Practice"	fjponline.com	47	199809
101053676	"MR angiography effective for diagnosing carotid artery stenosis"	"Journal of Family Practice"		52	200309
101053676	"Neuroleptics for Behavioral Symptoms of Dementia"	"Journal of Family Practice"	jfponline.com	49	200011
101053676	"Omeprazole and placebo have same long-term effect on dyspepsia"	"Journal of Family Practice"		52	200309
101053676	"Proximal Fifth Metatarsal Fractures"	"American Family Physician"	www.aafp.org	59	199906
101053676	"Soy Formulations in the Treatment of Diarrhea"	"Journal of Family Practice"	jfponline.com	48	199909
101053676	"Treatment of Skin Malignancies"	"Journal of Family Practice"		52	200306
101053689	"A novel technique of interlocking screw placement after missing a screw hole"	"European Journal of Orthopaedic Surgery and Traumatology"		21(3)	201008
101053689	"bilateral synchronous quadriceps tendon rupture"	"European Journal of Orthopaedic Surgery and Trauma"		18(1)	200801
101053689	"Femoral shaft fracture below a pre-existing implant"	"European Journal of Orthopaedic Surgery and Traumatology"	www.springerlink.com		201103
101053689	"gunshot wound to the talus: a report of two cases"	"european journal of orthopaedic surgery and trauma"		18(1)	200801
101053689	"Insufficiency fracture after gastric bypass for morbid obesity"	"Injury Extra"		39(3)	200803
101053689	"Peri-implant fracture of the femur in an 11 year old."	"European Journal of Orthopaedic Surgery and Traumatology"	www.springerlink.com		201105
101053689	"Pseudoaneurysm of the lateral geniculate artery at the distal interlocking screw site"	"European Journal of Orthopaedic Surgery and Traumatology"		19(3)	200903
101053689	"Stress fractures in the gapped area of a two implant construct."	"European Journal of Orthopaedic Surgery and Traumatology"	www.springerlink.com		201107
101053749	"Pigmentary Disporders"	"Med Clin of North America"		93	200911
101053795	"Developing Therapies for Heart Failure with Preserved Ejection Fraction: Current State and Future Directions"	"JACC: Heart Failure"		2(2):97-112	201404
101053795	"Once-daily dosing of delayed-release oral mesalamine (400-mg tablet) is as effective as twice-daily dosing for maintenance of remission of ulcerative colitis."	Gastroenterology		138(4):1286-96	201004
101053825	"Effects of Dexamethasone and of  Local Hypothermia on Early and Late Tissue  Electrolyte Changes in Experimental Spinal Cord Injury"	"Journal of Spinal Disorders"		"13,No.5,pp391-398"	200105
101053858	"Brown-Vialetto-Van Laere syndrome in a large inbred Lebanese family: confirmation of autosomal recessive inheritance?"	"Am J Med Genet. "		"15;92(2):117-21. Review"	200005
101053858	"Neurological complications associated with Mycoplasma pneumoniae infection. A case report"	"J Med Liban"		"2000 Mar-Apr;48(2):108-11"	200003
101053858	"NEW DRUG THERAPY FOR ACUTE SEIZURE MANAGEMENT"	SEM.PED.NEURO.		MARSH.4	199703
101053876	"Airborne severe acute respiratory syndrome coronavirus and its implications."	"Journal of Infectious Diseases"	www.journals.uchicago.edu/JID/journal/	191	200505
101053876	"Drug targets in severe acute respiratory syndrome (SARS) virus and other coronavirus infections."	"Infect Disord Drug Targets"	www.bentham-direct.org/pages/content.php?IDDT/2009/00000009/00000002/0012S.SGM	9	200904
101053876	"Henoch-schonlein purpura-a case report and review of the literature."	"Gastroenterol Res Pract."			201005
101053876	"Resolution of massive pleural effusion due to lymphoma with intrapleural interleukin-2."	"Am J Hematol."			200912
101053876	"SARS-CoV anti-infectives"	"Recent Patents on Anti-infective Drug  Discovery"		1	200611
101053876	"SARS-CoV sampling from 3 portals."	"Emerging Infectious Diseases"	www.cdc.gov/ncidod/eid/index.htm	11	200501
101053876	"The severe acute respiratory syndrome coronavirus in tears."	"The British Journal of Ophthalmology"	bjo.bmjjournals.com	89	200503
101053876	"Therapies for coronaviruses. Part 2: Inhibitors of intracellular life cycle."	"Expert Opin Ther Pat."		19	200904
101053876	"Therapies for coronaviruses. Part I of II -- viral entry inhibitors."	"Expert Opin Ther Pat."		19	200903
101053891	"over 30 publications"	"see pub med"			200801
101053893	"A 37 YEAR OLD MAN WITH SEVERE HEAD TRAUMA, AND A ""HOT NOSE"" SIGN ON BRAIN FLOW STUDY"	CHEST		116	199911
101053909	"Hypoxia-Ischemia-Induced Apoptotic Cell Death Correlates wtih IGF-1 mRNA Decrease in Neonatal Rat Brain"	"Biol. Signals Recept."		8	199901
101053932	"BIRDSHOT RETINOCHOROIDOPATHY"	"BR J OPHTHALMOL"		83	199901
101053932	"DETERMINANTS OF GLAUCOMA AWARENESS IN A GENERAL EYE CLINIC"	OPHTHALMOLOGY		107	200001
101053932	"HORNER'S SYNDROME SECONDARY TO CHEST TUBE PLACEMENT"	"ANN OPHTHALMOL"		28	199601
101053932	"MENKES DISEASE [LETTER]"	OPHTHALMOLOGY		106	199901
101053932	"MENKES DISEASE: OPHTHALMIC FINDINGS"	OPHTHALMOLOGY		109:1477-1483	200208
101053932	"OCULAR PATHOLOGY AND LENS ANALYSIS IN THE HAJDU-CHENEY SYNDROME: A CASE REPORT"	" ANN OPHTHALMOL"		33	200101
101053932	"POSTOPERATIVE SYMPATHETIC OPHTHALMIA"	"INT OPHTHALMOL CLIN"		40	200001
101053932	"The high prevalence of exfoliation syndrome among Azerbaijani [letter]"	"Arch Ophthalmol"		121	200306
101053932	"The White Dot Syndromes"	"Am J Ophthalmol"		138	200410
101053932	"USE OF MICRODISSECTION AND MOLECULAR GENETICS IN THE PATHOLOGIC DIAGNOSIS OF RETINOBLASTOMA"	RETINA		19	199901
101053968	".  Reduced-Intensity Allogeneic Transplantation Provides High Event-Free and Overall Survival in Patients with Advanced Indolent B Cell Malignancies: CALGB 109901."	"Biology of BLood and Marrow Transplantation"		17	201109
101053968	"âž¢	Fludarabine-based conditioning for marrow transplantation from unrelated donors in severe aplastic anemia: early results of a cyclophosphamide dose deescalation study show life-threatening adverse events at predefined cyclophosphamide dose levels."	"Biology of BLood and Marrow Transplantation"		18	201207
101053968	"Adequate Immune Reconstitution in Recipients of Unrelated Donor Stem Cell Transplants Given Anti-thymocyte Globulin (ATG) During Conditionin"	Blood			200911
101053968	"AMD3100 Plus G-CSF Can Successfully Mobilize CD34+ Cells From Non-Hodgkinâ€™s Lymphoma, Hodgkinâ€™s Disease And Multiple Myeloma Patients Previously Failing Mobilization With Chemotherapy And/Or Cytokine Treatment: Compassionate Use Data"	"Bone MArrow Transplantation"		41	200811
101053968	"Anti-thymocyte globulin for conditioning in matched unrelated donor hematopoietic cell transplantation provides comparable outcomes to matched related donor recipients."	"Bone Marrow Transplantation"			201205
101053968	"Epigenetic induction of adaptive immune response in multiple myeloma: sequential azacitidine and lenalidomide generate cancer testis antigen-specific cellular immunity."	"British Journal of Hematology"		158	201209
101053968	"Feasability of extracorporeal photopheresis in managing patients with bronchiolitis obliterans following allogeneic stem cell transplantation: a single-centre experience"	"Biology of BLood and Marrow Transplantation"		15	200902
101053968	"Improving stem cell mobilization strategies: future directions"	"BOne MArrow Transplantation"		43	200902
101053968	"Phase III prospective randomized double-blind placebo-controlled trial of plerixafor plus granulocyte colony-stimulating factor compared with placebo plus granulocyte colony-stimulating factor for autologous stem-cell mobilization and transplantation for "	"J Clinical Oncology"		28	200910
101053968	"Successful stem cell remobilization using plerixafor (mozobil) plus granulocyte colony-stimulating factor in patients with non-hodgkin lymphoma: results from the plerixafor NHL phase 3 study rescue protocol"	"Biology of BLood and Marrow Transplantation"			200912
101054031	"Cautionary Guidelines for the Use of Opioids in Chronic Pain"	"American Journal on Addictions"	www.wiley.com/WileyCDA/WileyTitle/productCd-AJAD.html	18	200905
101054031	"Chronic Pain and Addiction in Lesbians"	"Journal of Gay and Lesbian Mental Health"	www.tandfonline.com/action/aboutThisJournal?journalCode=wglm20#.UvurcHmYbct	14	201001
101054031	"Prescription Drug Abuse and Diversion in Clinical Practice"	"Journal of Addictions Nursing"		22	201105
101054124	"A prospective study of the benefits of the “two bag”system in diabetic ketoacidosis"	"Clin Pediatr (Phila)"		43:809-813	200401
101054124	"Care of the female adolescent rape victim"	"Pediatr Emerg Care"		16:53-59	200201
101054124	"Comparative efficacy of oral dexamethasone versus oral prednisone in acute pediatric asthma "	"J Pediatr"		139:20-26	200101
101054124	"Concussions: Assessment, management and recommendations for return to	activity. Neurologic Emergencies"	"Clin Ped Emerg Med"		4:179-185.	200301
101054124	"ED overcrowding-meeting many	needs. Controversies in pediatric emergency medicine. 	"	"Pediatr Emerg Care"		20:710-716	200401
101054124	"ED-PICU	overcrowding. Getting by with a little help from our friends. Controversies in pediatric emergency medicine"	"Pediatr Emerg Care"		20:836-844	200401
101054124	"Evaluation of an ambu-bag-valve with a	self-contained, colorimetric end-tidal CO2  system in the detection of airway mishaps: An animal trial.  "	"Pediatr Emerg Care"		16	200001
101054124	"Factors Used by pediatric emergency fellowship program directors to select their fellows 2003;"	"Pediatr Emerg Care"		19:157-161	200301
101054124	"Pain and sedation. Controversies in pediatric emergency medicine"	"Pediatr Emerg Care"		20:57-62	200401
101054124	"Pediatric emergency nurses’ perspectives on fever in children"	"Pediatr Emerg Care"		16:9-12	200001
101054131	"Acute respiratory distress syndrome:  Estimated incidence and mortality in a 5,000,000 person population base"	"Critical Care"		"1998,2:29-34"	200101
101054131	"Extracorporeal liver exclusion for management of severe traumatic liver injuries"	"Trauma Quarterly"		"1998 Aspen Publishers"	200101
101054131	"Extracorporeal lung support in a patient with traumatic brain injury:  The benefit of Heparin-bonded circuitry"	Perfusion		"14;489-493,1999"	200101
101054131	"Hyperlactemia, increased osmolar gap and renal dysfunction during continuous lorazepam infusion"	"Critical Care Medicine"		2000:28(5);1631-4	200101
101054131	"Interhospital transport of the extremely ill patient"	"Critical Care Medicine"		2000;28(1)79-85	200101
101054131	"Life threatening acute systemic lupus erythematosis:  Survival following multiple extracorporeal modalities;  A place for the Multi-potential extracorporeal service"	ASAIO		46:146-149;2000	200101
101054131	"Outcome in Post-Traumatic Acute Renal Failure  when continuous renal replacement therapy is applied early vs late"	"Intensive care medicine"		"Aug 1999;25(8):805-813"	200101
101054131	"Physician utilization of a portable CT scanner in the ICU"	"Critical Care Medicine"		"December 2000"	200101
101054133	"A legislative history of federal assistance for health professions training Primary Care Medicine and Dentistry in the US, 1963-2008"	"Academic Medicine"		83	200811
101054133	"Dr. Louis T. Wright and the NAACP: Pioneers in Hospital Racial Integration"	"American Journal of Public Health"		90:883-92	200006
101054133	"Genes and Generalists: Why We Need Professionals with Added Competencies"	"Western Journal of Medicine"		171:375-79	199912
101054133	"Genetic Testing and Preventive Screening Guidelines for Hereditary Nonpolyposis Colorectal Cancer and Hereditary Breast-Ovarian Cancer"	"Postgraduate Obstetrics and Gynecology"		21:1-8	200103
101054133	"Hospitals and Civil Rights, 1945-1963: The Case for Simkins versus the Moses H. Cone Memorial Hospital"	"Annals of Internal Medicine"		126:898-906	199706
101054133	"Recommendations of Core Competencies in Genetics Essential for All Health Professionals"	"Genetics in Medicine"		3:155-159	200103
101054133	"The Federal Government's Use of Title VI and Medicare to Racially Integrate Hospitals in the United States, 1963-1967"	"American Journal of Public Health"		87:1850-1858	199711
101054133	"Title VII and teh Development and Promotion of National Initiatives in Training Primary Care Clinicians in the United States"	"Academic Medicine"		83	200811
101054133	"Title VII Innovations in American Medical and Dental Education: Responding to 21st Century Priorities for the Health of the American Public"	"Academic Medicine"		83	200811
101054133	"Why we need to restore primary care generalist training as the centerpiece of federal policy"	"Academic Medicine"		83	200811
101054138	"Laparoscopic Assisted Roux-en-Y Gastric Bypass"	"Journal of Laparoendoscopic & Advanced Surgical Techniques"		"vol 5"	199901
101054138	"Laparoscopic Closure of Mesenteric Defects After Roux-en-Y Gastric Bypass"	"Journal of Laparoendoscopic & Advanced Surgical Techniques "		"Vol 10"	200006
101054138	"Operative Therapy of Obesity – Vertical Banded Gastroplasty, Gastric Bypass or Gastric Banding"	"Minimal Invasive Chirugie  "		"vol 8"	199901
101054138	"Pretreatment With Allopurinol Diminishes Pancreatography-Induced Pancreatitis In A Canine Model"	"Gastrointest Endosc "		48	199808
101054138	"The Clinical Spectrum of Clostridium Difficile Colitis In Immunocompromised Patients"	"American Surgeon"			199608
101054140	"How to manage your Cardiologist."	"International Medical press"			200501
101054157	"Differential sensory block after spinal bupivacaine in  human volunteers"	"Anesthesia and Analgesia"			199701
101054157	"Dose response characteristics of spinal bupivacaine in human volunteers: Clinical implications for ambulatory anesthesia."	Anesthesiology		85	199610
101054157	"Peripheral nerve blocks improve analgesia after total knee replacement."	"Anesthesia and Analgesia"		87	199807
101054157	"The effects of volume and concentration on sensory and motor block after epidural chloroprocaine."	Anesthesiology		86	199706
101054206	"Surgical Correction of lumbar kyphotic deformity using an eggshell osteotomy"	"Journal of Neurosurgery"		"Spine volume 1"	200001
101054208	"ORAL FLUCONAZOLE FOR VAGINAL CANDIDIASIS"	"AM FAMILY PHYSICIAN"			1996
101054267	"A Novel Method for Replacement of the Dislodged Tracheostomy Tube: The Nasogastric Tube Guide Wire Technique "	"Journal of Emergency Medicine"		"14(2):205-8 "	199601
101054267	"Familial Congenital Lordoscoliosis Due to Incomplete Segmentation of the Lumbar Spine"	"Journal of Pediatric Orthopaedics"		"unknown-in press"	199901
101054285	"A pilot study evaluating mindfulness-based stress reduction and massage for the management of chronic pain"	"Journal of General Internal Medicine"		20(12)	200506
101054285	"patient safety in the ambulatory setting: a clinician-based approach"	"Journal of General Internal Medicine"			200407
101054285	"Physician Perception of Hospital Safety and Barriers to Incident Reporting"	"Jopurnal on Quality and Patient Safety"		32(6)	200606
101054292	"Prospective Study of the Immune Effects of Normalizing the Hemoglobin Concentration in Hemodialysis Patients Who Receive Recombinant Human Erythropoietin"	"Journal of the American Society of Nephrology"		"May 2004; 15: 1339 - 1346. "	200405
101054307	". Accelerated growth of dermatofibrosarcoma protuberans duringpregnancy."	"Journal of the American Academy of Dermatology"		41	199901
101054307	". Fixed drug eruptions to human immunodeficiency virus-1 protease inhibitor. "	cutis		66	200001
101054307	"A clonal cutaneous CD30+ lymphoproliferative eruption in a patient with evidence of past exposure to hepatitis "	"International Journal of Dermatology"		39	200007
101054307	"Generalized essential telangiectasia in a patient with Graves' disease: should the spectrum of autoimmune diseases associated with generalized telangiectasia be expanded"	Cutis		65	200001
101054307	"Glial heterotopia in the subcutaneous tissue overlying T-12"	"Journal of Cutaneous Pathology"		26	199901
101054307	"Infiltrative glomus tumor arising from a benign glomus tumor: a distinctive immunohistochemical pattern in the infiltrativecomponent."	"American Journal of Dermatopathology"		21	199901
101054307	"Lamivudine (3TC)-induced contact dermatitis"	Cutis		65	200001
101054307	"Lichenplanopilaris in an epidermal nevus."	"Journal of Cutaneous Medicine and Surgery"		4	200001
101054307	"Perspectives in dermatopathology: telomeres and telomerase in ageing and cancer; with emphasis on cutaneous disease."	"Journal of Cutaneous Pathology"		27	200001
101054307	"Stromal progenitor cells present within liposuction and reduction abdominoplasty fat for autologous transfer to aged skin. "	"Dermatologic Surgery"		25	199901
101054334	N/A				200501
101054350	"Dynamic contrast-enhanced MRI to quantify VEGF-enhanced tissue-engineered bladder graft neovascularization: pilot study"	"Journal Bimedical Material Research A"		77	200605
101054350	"Feasability study of a novel urinary bladder bioreactor"	"Tissue Engineering Part A"		14	200803
101054350	"Impact of fibrin glue and urinary bladder cell spraying technique on the in-vivo acellular matrix cellularization: a porcine pilot study"	"Canadian Journal of Urology"		13	200604
101054350	"Pediatric Renal Cell carcinoma: single instituion 25-year case series and initial experience with partial nephrectomy"	"Journal of Urology"		175	200604
101054350	"Porcine bladder acellular matrix porosity; impact of hyaluronic acid and lyophyilization"	"Journal of biomedical material Research"		77	200604
101054350	"Simplified monsplasty: a new technique to improve cosmesis in females with the exstrophy-epispadias complex"	"Journal of Urology"		173	200506
101054350	"Transient asynchronous testicular growth in adolescent males with a varicocele"	"Journal of Urology"		180	200809
101054359	" Blunt trauma and the role of routine pelvic radiographs: a prospective analysis."	"J Trauma"		53	200201
101054359	"Hyperacute abdominal compartment syndrome: an unrecognized complication "	"American Surgeon"		71	200512
101054359	"In the wake of hurricane Isabel: A prospective study of post-event "	"Americabn Surgeon"		71	200511
101054359	"Is blood sugar the next lactate "	"American Surgeon"		72	200603
101054359	"Obesity and outcomes after blunt trauma."	"J Trauma"		61	200611
101054359	"Prospective evaluation of an extubation protocol in a trauma intensive care unit population. "	"American Surgeon"		72	200602
101054359	"Protocol driven ventilator management in a trauma ICU population. "	"Archives of Surgery"		137	200201
101054359	"Re-evaluating the management and outcomes of severe blunt liver injury. "	"J Trauma"		57	200411
101054359	"Thoracic outlet syndrome resulting from first rib fracture."	"J Trauma"		62	200701
101054420	"Improving the Spiritual Domain of Palliative Care"	"Journal of Palliative Medicine"			200910
101054420	"Spiritual Assessment"	"Psychiatric Annals"			200607
101054425	"Percutaneous Pin Fixation of the Proximal Humerus: An Anatomic Study"	"Journal Bone and Joint Surgery American"	www.ejbjs.org	83-A	200111
101054454	"Omalizumab for Severe Ocular Allergy"	"Clinical Pharmacology"		44:1200	200401
